Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Italie,ITA,26970,27950,28610,29060,29510,30180,32580,34170,35200,34580,35080,36510,36440,36250,36200,36640,40040,41810,43510,46160,43700,48200,53280
Jamaïque,JAM,6200,6340,6430,6780,7040,7270,7740,8030,8180,7730,7820,8100,8320,8500,8630,8810,9130,9700,10010,10380,9400,10300,11700
Jordanie,JOR,6080,6450,6710,7000,7700,8390,8770,9170,9640,9940,9830,10040,10180,10220,9350,9130,8990,9580,9770,9940,9720,10300,11090
Japon,JPN,27680,28380,29040,29870,31430,32880,34530,36090,36220,34390,36280,37270,38640,40760,41030,42510,42010,42980,43750,43930,43200,44910,48480
Kazakhstan,KAZ,7240,8540,9610,10550,11650,12590,13920,15260,15370,16020,16710,17790,19050,21900,22190,21760,21490,22160,22940,24040,24420,25280,27330
Kenya,KEN,1880,1930,1920,1950,2050,2190,2320,2470,2460,2170,2320,2470,2550,2780,3040,3390,3970,4230,4500,4720,4670,5150,5680
République kirghize,KGZ,1750,1910,1930,2090,2230,2300,2470,2730,2910,2980,2890,2950,3530,3810,4100,4050,4440,4800,5100,5030,4900,5050,5670
Cambodge,KHM,1040,1130,1190,1300,1440,1650,1850,2080,2210,2190,2330,2500,2730,2890,3020,3220,3510,3770,4090,4380,4330,4560,5070
Kiribati,KIR,2430,2550,2440,2350,2250,2320,2370,2460,2430,2300,2390,2290,2660,3010,3430,4090,3490,3760,3880,4320,3750,3790,3870
Saint-Kitts-et-Nevis,KNA,14090,14930,15220,14630,15860,18130,19510,20210,22850,22160,22530,23330,22490,23910,24590,24770,26310,27960,29310,32000,27400,27970,32620
Corée, République de,KOR,18410,19590,21320,22020,23730,25010,26810,28990,29950,29460,31780,32750,33910,34460,35500,38020,39720,41120,43220,43780,45080,47600,51070
Koweït,KWT,69850,67340,65360,74960,85350,94350,100700,101380,96940,85370,81330,83380,85850,81230,75380,51480,48780,57790,56770,56560,53520,59130,67200
Amérique latine et Caraïbes (hors revenu élevé),LAC,8329.50950131219,8427.61089708621,8499.60706733614,8772.23872490695,9298.6730886304,9841.02968661267,10716.846021458,11488.7617023494,12115.533018668,11944.2204907944,12696.2789839222,13527.0746142027,13791.2156604725,14275.3832533616,14570.3481244017,14363.9236001751,14540.0121589419,15106.1367383923,15443.0870495434,15623.9544219388,14733.8139634508,16091.8957674763,17819.792079733
République démocratique populaire lao,LAO,1720,1830,1950,2030,2230,2470,2630,2920,3120,3390,3540,3830,4510,4960,5570,5850,6510,6830,7390,7700,7710,8170,8680
Liban,LBN,8100,8280,8230,7470,9290,9990,10450,11780,12690,13610,14640,15040,15770,15510,14810,15220,16320,17740,18000,17480,14100,13400,
Libéria,LBR,860,830,840,580,610,650,710,780,840,870,900,1000,1040,1210,1230,1160,1280,1400,1360,1360,1390,1470,
Libye,LBY,,,20710,23450,23980,26710,28950,31340,31090,29330,30250,16110,28780,24000,21020,22730,22200,24680,26690,24110,16790,22010,23600
Sainte-Lucie,LCA,8820,8610,8820,9200,9920,10130,11260,11590,12330,12210,12370,13270,12980,13410,13130,12650,13690,14340,15190,15150,12060,13960,17050
